Event,Latitude,Longitude,Depth top [m],Symbiosis,Spine,Absolute Abundance
341-U1421,59.5072,-144.0456,51.8,symbiont-barren,non-spinose,0
341-U1421,59.5072,-144.0456,51.8,symbiont-barren,spinose,0
341-U1421,59.5072,-144.0456,51.8,symbiont-bearing,non-spinose,0
341-U1421,59.5072,-144.0456,51.8,symbiont-obligate,spinose,0
341-U1421,59.5072,-144.0456,52.3,symbiont-barren,non-spinose,122
341-U1421,59.5072,-144.0456,52.3,symbiont-barren,spinose,130
341-U1421,59.5072,-144.0456,52.3,symbiont-bearing,non-spinose,0
341-U1421,59.5072,-144.0456,52.3,symbiont-obligate,spinose,0
341-U1421,59.5072,-144.0456,52.81,symbiont-barren,non-spinose,213
341-U1421,59.5072,-144.0456,52.81,symbiont-barren,spinose,272
341-U1421,59.5072,-144.0456,52.81,symbiont-bearing,non-spinose,6
341-U1421,59.5072,-144.0456,52.81,symbiont-obligate,spinose,0
341-U1421,59.5072,-144.0456,53.3,symbiont-barren,non-spinose,0
341-U1421,59.5072,-144.0456,53.3,symbiont-barren,spinose,0
341-U1421,59.5072,-144.0456,53.3,symbiont-bearing,non-spinose,0
341-U1421,59.5072,-144.0456,53.3,symbiont-obligate,spinose,0
341-U1421,59.5072,-144.0456,53.82,symbiont-barren,non-spinose,0
341-U1421,59.5072,-144.0456,53.82,symbiont-barren,spinose,0
341-U1421,59.5072,-144.0456,53.82,symbiont-bearing,non-spinose,0
341-U1421,59.5072,-144.0456,53.82,symbiont-obligate,spinose,0
341-U1421,59.5072,-144.0456,54.31,symbiont-barren,non-spinose,0
341-U1421,59.5072,-144.0456,54.31,symbiont-barren,spinose,0
341-U1421,59.5072,-144.0456,54.31,symbiont-bearing,non-spinose,0
341-U1421,59.5072,-144.0456,54.31,symbiont-obligate,spinose,0
